Language pair,"F1-score (LaBSE, average)","F1-score (LASER, average)","Gromov-Hausdorff dist. (LaBSE, average)","Gromov-Hausdorff dist. (LASER, average)","Singular value gap (LaBSE, average)","Singular value gap (LASER, average)","ECOND-HM (LaBSE, average)","ECOND-HM (LASER, average)","Average margin score (LaBSE, average)","Average margin score (LASER, average)"
Galela-Cakchiquel,0.1427,0,1.9526,2.0162,3.2433,8157.3037,47.6718,41.8711,0.7529,0.6205
Galela-Bulgarian,0.0873,0.0046,2.6873,2.37835,759.6875,8467.8856,38.6315,29.3556,0.4993,0.5878
Galela-Latin,0.1499,0,2.6524,2.3670,664.5712,8449.9899,38.2194,30.9371,0.5797,0.6470
Galela-Arabic,0.1478,0.00115,2.6479,2.3687,271.0701,8462.9644,44.7566,27.86835,0.6364,0.6447
Galela-Finnish,0.18965,0.0030,2.6121,2.3565,738.2211,8435.7883,38.73145,29.0874,0.7065,0.6693
Galela-Ukranian,0.1557,0.0041,2.6836,2.3751,715.7134,8456.8741,38.25875,28.3148,0.67345,0.6683
Galela-Uspanteco,0.1539,0,1.9008,2.00535,3.5548,8151.95755,44.0767,44.3941,0.7253,0.5966
Galela-Ojibwa,0.0011,0,1.4747,1.3562,9738.8486,46150.1691,52.4421,45.0390,0.5367,0.6227
Galela-Aguaruna,0.1438,0,1.9217,2.1577,3.1116,8227.9992,47.2349,39.8380,0.7627,0.5940
Galela-Nepali,0.1660,0.0021,1.2531,0.8822,824.4700,4346.7529,39.6757,41.7973,0.6972,0.587
Galela-Marathi,0.1707,0.0049,1.5836,1.3474,893.40485,6179.0175,38.78325,29.25615,0.68245,0.6612
Galela-Lukpa,0.0859,0,1.9303,1.7509,102.3677,7978.4026,48.9841,47.8189,0.7020,0.4699
Galela-Turkish,0.1717,0.00115,3.0096,2.7199,858.2632,8631.9452,38.9729,38.5599,0.6599,0.5103
Galela-Farsi,0.14375,0.00225,2.5097,1.9259,864.0300,6696.6794,37.2503,41.6185,0.6697,0.41515
Galela-Paite,0.10365,0,2.0082,2.17785,6.1884,8214.5889,44.5977,38.9193,0.6482,0.5850
Galela-Hindi,0.1469,0,2.6678,2.1205,998.4227,7400.0115,36.1843,41.5953,0.6550,0.490
Galela-Cherokee,0.0020,0,1.36795,1.6624,7356.6563,21926.1485,51.9133,50.8783,0.4739,0.59815
Galela-K'iche'-SIL,0.2018,0,2.0090,1.9998,5.6681,8141.6209,45.7117,40.8809,0.7833,0.6094
Galela-Uma,0.2701,0.0041,0.5477,0.8529,1.4148,2340.5736,51.1439,36.1102,0.8293,0.6302
Galela-Russian,0.1603,0.0021,2.6889,2.2327,836.5547,8188.5385,37.2724,38.6536,0.6656,0.5360
Galela-Syriac,0,0,5.8443,8.5116,1429452.4781,1168015.1896,37.3246,27.2589,0.4595,0.5626
Galela-Xhosa,0.1747,0,2.61355,1.66445,376.0224,7960.3894,43.4053,42.5049,0.6942,0.51775
Galela-English-WEB,0.2436,0.0041,2.6625,2.2501,454.7507,7984.7228,42.4254,41.4900,0.77585,0.4859
Galela-K'iche',0,0.00115,2.8673,2.5280,761584.5865,874474.0368,1.9583,1.9465,0.2373,-0.0465
Galela-Thai,0.1616,0.0021,2.6798,2.2577,782.4847,8343.8970,37.1635,33.9743,0.6805,0.6158
Galela-Campa,0.0450,0,0.5248,0.8852,11.98875,1322.6394,44.0499,38.4526,0.6427,0.60595
Galela-Q'eqchi',0.1792,0,2.09865,1.9385,5.6160,8134.7452,47.71605,38.14665,0.7645,0.6228
Galela-Tagalog,0.1959,0.0044,2.6601,2.1752,646.3075,8275.05715,39.2637,32.2523,0.6974,0.6824
Galela-Barasana,0.1401,0,1.9329,2.6396,24.5720,3512.2471,44.1252,51.7781,0.7170,0.3934
Galela-Nahuatl,0.1840,0,1.3594,0.8872,3.1710,3882.3022,52.1049,40.47085,0.7613,0.6110
Galela-Portuguese,0.1840,0.0040,2.6691,2.3031,791.70585,8258.5795,38.12835,37.3864,0.6799,0.5615
Galela-Zarma,0.1530,0,2.0806,1.9540,2.9954,8070.9960,52.1002,40.0094,0.7429,0.5382
Galela-Korean,0.1171,0.00115,2.6323,2.0243,371.4627,7878.2406,43.7690,41.5478,0.6141,0.4743
Galela-Coptic,0,0,4.8881,4.8034,314549.5239,1410405.5161,50.1011,30.4738,0.4082,0.6525
Galela-Hungarian,0.1809,0.00095,2.6270,2.3790,441.6740,8480.1176,41.3193,28.1308,0.6933,0.6649
Galela-Shona,0.1553,0,2.5754,2.0827,435.7544,8209.14115,42.917,37.2775,0.6785,0.5779
Galela-Cebuano,0.2032,0.0021,2.6084,2.1757,735.8877,8241.5282,38.7820,35.08345,0.7328,0.6575
Galela-Ewe,0.1820,0,1.6733,1.9640,5.3499,8232.9865,47.3585,39.77695,0.7440,0.6165
Galela-Norwegian,0.1752,0.0041,2.6665,2.2741,879.1742,8264.8997,37.2572,36.8239,0.6700,0.5752
Galela-Vietnamese-tok,0.1452,0.00095,2.65655,2.3792,734.1099,8404.9578,37.8985,29.1410,0.69255,0.6767
Galela-Wolaytta,0.0861,0,0.9067,0.8736,11.9278,3297.1386,42.6506,43.66485,0.7207,0.5187
Galela-Kannada,0.1398,0,2.6638,1.5638,663.8761,163450.6778,39.66915,45.6187,0.6472,0.65285
Galela-Dinka,0.0997,0,2.01785,2.1021,17.5131,7660.7762,41.6460,40.6717,0.6537,0.5754
Galela-Indonesian,0.2458,0.0032,1.7584,1.2546,880.9850,6620.2011,38.4715,38.0030,0.7164,0.5690
Galela-English,0.2146,0.00185,2.5988,2.08535,348.8262,7881.3768,44.2890,40.9530,0.7387,0.38295
Galela-Myanmar,0.1088,0,2.6059,1.6094,308.7020,8086.1809,42.340,41.8400,0.6269,0.6887
Galela-Jakalteko,0.17015,0,1.0221,1.2029,24.3368,2335.6027,44.6764,42.3505,0.7698,0.5983
Galela-Slovene,0.1894,0.0021,2.6706,2.3660,620.0947,8487.2000,39.3761,27.4352,0.6807,0.6529
Galela-Greek,0.1401,0.0028,2.5279,2.4119,315.8206,8468.9341,44.1128,27.3307,0.6714,0.6650
Galela-Chinantec,0.1243,0,1.5516,1.2182,96.0359,5422.2468,48.2617,44.1513,0.7652,0.6065
Galela-Icelandic,0.1777,0.0062,2.6802,2.3491,1062.3084,8443.2163,35.6735,28.68545,0.6852,0.6771
Galela-Polish,0.1837,0.00185,2.6354,2.2712,789.7659,8268.6805,38.0150,37.7006,0.6903,0.56185
Galela-Romani,0.1830,0,1.7065,1.7560,10.1025,7745.5652,52.4190,33.66275,0.7350,0.6344
Galela-Maori,0.1403,0,2.6286,2.0802,488.6624,8216.6370,41.5475,36.4552,0.6617,0.6227
Galela-Cabecar,0.16905,0.0032,1.7477,2.07875,14.0783,8187.6431,49.8200,35.6175,0.7399,0.6508
Galela-Mam,0.1376,0.00095,1.8402,1.8615,19.5421,7045.6073,45.3595,37.6405,0.75205,0.6305
Galela-Latvian,0.1606,0.0032,2.6932,2.3944,1004.5634,8459.8892,36.3699,27.81515,0.64505,0.6644
Galela-Chinese,0.1402,0.00095,2.6022,2.3476,94.2430,8417.3969,50.2098,29.2323,0.5967,0.6660
Galela-Japanese-tok,0.1877,0.00185,2.6553,2.2148,394.3759,8272.5979,43.7891,32.87665,0.7376,0.63805
Galela-Albanian,0.1917,0.0062,2.6843,2.1737,760.9417,8014.6031,38.5782,41.1326,0.6999,0.51685
Galela-Basque,0.1660,0.00095,2.5649,2.3646,232.9354,8444.1122,44.3992,30.1409,0.7146,0.6553
Galela-Esperanto,0.1944,0.0041,2.6526,2.4018,765.7599,8461.1703,38.3116,27.73675,0.6962,0.6638
Galela-Gujarati,0.1664,0.00115,1.8413,1.3498,982.6378,25641.8568,38.4205,48.7980,0.6999,0.6258
Galela-Serbian,0.1666,0.0058,2.66425,2.3140,649.5304,8438.2292,39.5667,31.1136,0.6741,0.6159
Galela-Vietnamese,0.1635,0.0030,2.6751,2.3837,802.7402,8437.3931,37.4182,28.9748,0.6927,0.6741
Galela-German,0.1904,0.0044,2.67885,2.1952,708.81365,8116.9218,38.9603,39.75515,0.6679,0.5257
Galela-Telugu,0.1002,0.00115,2.6524,2.2882,508.0812,8338.0911,40.6418,30.8194,0.6058,0.6744
Galela-Creole,0.1854,0,2.6624,2.1152,515.7843,8251.8977,42.4336,36.1892,0.6780,0.5865
Galela-Quichua,0.1260,0,1.3987,1.2436,2.7655,5475.8386,49.78365,38.63135,0.6739,0.6080
Galela-Achuar,0.1586,0,0.8454,0.9564,8.5712,808.9776,46.18435,38.6929,0.7338,0.5981
Galela-Malagasy,0.1930,0.0021,2.6521,2.3614,508.3275,8430.0113,42.7282,29.5933,0.6967,0.6579
Galela-Camsa,0.1534,0,9.3702,9.76765,61102.77705,168927.4387,50.01725,47.3978,0.6590,0.4643
Galela-Swedish,0.20385,0.0041,2.6887,2.2519,896.3977,8204.2284,37.1756,38.0043,0.7089,0.5732
Galela-Aukan,0.1441,0,1.3900,1.2727,4.7516,5996.2213,47.413,36.1472,0.7794,0.6044
Galela-Japanese,0.1862,0.0028,2.67335,2.3104,535.5684,8353.4154,41.8393,30.3948,0.7212,0.64415
Galela-Spanish,0.2057,0.0030,2.6666,2.3642,650.1648,8396.72185,40.4221,32.9552,0.6903,0.6098
Galela-Shuar,0.0485,0.00095,1.4757,1.57245,5.2217,7106.2930,42.8130,38.6144,0.6524,0.6088
Galela-Dutch,0.1686,0.0021,1.8306,1.5168,965.1729,875.9011,36.2579,30.2247,0.6673,0.6069
Galela-Slovak,0.1693,0.0041,2.6487,2.4231,875.7011,8462.2749,37.3865,27.5957,0.6671,0.6574
Galela-Amuzgo,0.1743,0,1.8287,1.7621,57.9841,8036.2767,47.46305,46.3313,0.7683,0.56465
Galela-Swahili,0.23435,0,2.6927,2.0125,906.8352,7808.1138,37.2789,42.2248,0.7281,0.4252
Galela-Chinese-tok,0.1402,0.00095,2.6023,2.3474,94.2430,8417.8858,50.2098,29.2323,0.5967,0.6660
Galela-Danish,0.1888,0.0062,2.6853,2.3956,707.4633,8426.2967,38.9637,28.3702,0.6874,0.63935
Galela-Amharic,0.1342,0,0.6277,1.07455,482.8373,460.7168,40.6510,42.8342,0.6196,0.4290
Galela-Somali,0.1601,0,2.6622,1.4059,517.09635,9659.6328,41.1219,36.4976,0.6692,0.2574
Galela-Croatian,0.1923,0.0060,2.6167,2.2872,858.9857,8401.7666,36.6597,31.1354,0.6840,0.6137
Galela-Italian,0.2104,0.0040,2.68435,2.3795,664.5498,8460.6722,39.5162,27.9131,0.6840,0.6377
Galela-Akawaio,0.0477,0.00115,1.8052,2.0137,59.9997,8178.7977,44.6677,36.3925,0.7151,0.6194
Galela-Czech,0.1643,0.0041,2.6752,2.2504,537.8952,8294.8036,41.0197,37.8019,0.67315,0.563
Galela-Tachelhit,0.0271,0,2.1164,2.0650,1.1270,8182.7540,51.3415,37.4550,0.5940,0.6275
Galela-Romanian,0.2066,0.0041,2.6965,2.3562,1071.9530,8438.6209,35.7971,28.9937,0.7017,0.6372
Galela-Lithuanian,0.1881,0.0030,2.6913,2.3842,988.1613,8473.1046,36.3260,28.97965,0.7019,0.6710
Galela-Wolof,0.1585,0,2.08315,1.9875,14.8150,7469.5410,51.5385,38.1337,0.7369,0.5621
Galela-Zulu,0.1793,0.00115,2.6671,1.7824,606.1814,7983.3800,40.7602,41.2426,0.7027,0.5404
Galela-Thai-tok,0.14115,0,2.6853,2.3398,577.4002,8406.9050,39.7698,29.6828,0.7009,0.69985
Galela-Malayalam,0.1077,0,1.3156,1.00725,559.3065,1769.5049,40.0768,41.7459,0.578,0.5246
Galela-Hebrew,0.1137,0.00095,2.6270,2.3867,325.7827,8443.632,42.7790,27.7787,0.6114,0.6661
Galela-Kabyle,0.0842,0.00225,2.06735,2.0325,6.1167,8308.7889,42.7859,32.0895,0.6339,0.6769
Galela-French,0.1927,0.0041,2.6677,2.34735,695.5142,8416.3527,39.0261,33.3260,0.6696,0.6030
Galela-Afrikaans,0.1953,0.0021,2.6567,2.40185,798.7051,8426.4106,38.1016,28.2746,0.6847,0.659
Cakchiquel-Bulgarian,0.0813,0,0.7538,0.5566,821.0525,158.9052,38.8973,32.7823,0.4883,0.6024
Cakchiquel-Latin,0.1572,0,0.7108,0.5572,721.8593,134.1965,38.5025,34.7669,0.5736,0.6709
Cakchiquel-Arabic,0.1426,0.00115,0.7029,0.5548,313.5398,155.3822,45.0930,30.9425,0.6209,0.6598
Cakchiquel-Finnish,0.1977,0.00115,0.7613,0.5658,798.0243,141.8606,39.0034,32.4499,0.6730,0.6773
Cakchiquel-Ukranian,0.1887,0.00115,0.7550,0.5437,775.4632,149.0348,38.5201,31.49215,0.6904,0.68645
Cakchiquel-Uspanteco,0.2621,0.00115,0.3914,0.4790,0.5790,2.5510,44.3127,52.7306,0.8640,0.6443
Cakchiquel-Ojibwa,0.0020,0,1.5120,1.3623,9573.6989,56789.2804,52.8554,53.6416,0.6576,0.6524
Cakchiquel-Aguaruna,0.1439,0,0.2522,0.6899,1.5340,20.1152,47.5138,46.4254,0.7337,0.6048
Cakchiquel-Nepali,0.1862,0,0.8099,1.1611,887.3427,3423.5419,39.9629,49.1070,0.7101,0.5979
Cakchiquel-Marathi,0.16735,0,0.8386,0.9430,958.8893,1947.3206,39.0624,32.6607,0.6846,0.6717
Cakchiquel-Lukpa,0.0859,0,0.6756,0.8591,76.4813,107.5138,49.3971,57.6343,0.7313,0.4519
Cakchiquel-Turkish,0.1666,0,4.1616,3.8879,921.7889,17147.0511,39.1727,44.6978,0.6566,0.5012
Cakchiquel-Farsi,0.1279,0,0.7347,0.6823,927.5508,926.6948,37.4994,48.8592,0.6337,0.4137
Cakchiquel-Paite,0.1047,0,0.3769,0.6423,5.1371,22.83425,44.88385,45.1804,0.6470,0.6244
Cakchiquel-Hindi,0.1379,0,0.7423,0.6823,1065.3472,340.0920,36.4317,48.8289,0.6391,0.498
Cakchiquel-Cherokee,0.0031,0,1.4627,1.31175,7198.0521,32297.1145,52.29455,62.1377,0.6209,0.62045
Cakchiquel-K'iche'-SIL,0.3354,0,0.3345,0.24945,1.57085,1.5527,46.0069,47.8467,0.9075,0.6597
Cakchiquel-Uma,0.1679,0,1.8234,1.8602,2.8315,5451.0645,51.5307,41.4396,0.7634,0.6423
Cakchiquel-Russian,0.1910,0.00115,0.7845,0.5757,899.6062,63.1333,37.5190,44.82645,0.66915,0.5387
Cakchiquel-Syriac,0,0,5.8670,8.5116,1427626.4871,1163524.5126,37.6148,30.1976,0.5872,0.5827
Cakchiquel-Xhosa,0.1961,0,0.6796,0.8348,422.8734,9.2362,43.7322,50.0917,0.6913,0.5181
Cakchiquel-English-WEB,0.2403,0.00115,0.7099,0.5923,504.8948,23.1065,42.7455,48.6833,0.74785,0.4770
Cakchiquel-K'iche',0,0,1.8910,1.5199,759354.1626,871469.8067,1.9590,1.9601,0.5761,-0.85195
Cakchiquel-Thai,0.17145,0.00115,0.7563,0.5946,844.08945,111.3697,37.4207,38.6498,0.6711,0.6210
Cakchiquel-Campa,0.0509,0,1.78815,1.9219,7.0960,6582.1335,44.3707,44.5590,0.6619,0.6171
Cakchiquel-Q'eqchi',0.2689,0,0.3094,0.3318,3.7570,3.0143,47.9637,44.1431,0.8717,0.6715
Cakchiquel-Tagalog,0.2218,0.00115,0.7204,0.4413,702.8555,41.7052,39.5420,36.4404,0.7099,0.7014
Cakchiquel-Barasana,0.1680,0,3.4862,3.8477,14.4329,12291.3018,44.4168,63.4827,0.7751,0.3993
Cakchiquel-Nahuatl,0.2436,0,0.7807,1.1337,9.6068,3960.5718,52.4205,47.2849,0.84325,0.6549
Cakchiquel-Portuguese,0.2019,0.00225,0.7485,0.5581,853.5556,102.2345,38.3852,43.1285,0.6804,0.5644
Cakchiquel-Zarma,0.0996,0,0.4460,0.6841,6.0921,7.7368,52.4733,46.6640,0.6939,0.5410
Cakchiquel-Korean,0.1297,0.00225,0.6798,0.5897,417.8948,20.22975,44.0794,48.7613,0.639,0.4750
Cakchiquel-Coptic,0,0,5.3114,4.96825,313833.4915,1404720.8878,50.4710,34.1857,0.54435,0.6816
Cakchiquel-Hungarian,0.1878,0.00115,0.6988,0.5638,491.8397,161.6936,41.6285,31.2638,0.6848,0.6786
Cakchiquel-Shona,0.1534,0,0.6588,0.7447,484.5467,40.8285,43.2538,42.98315,0.6742,0.59065
Cakchiquel-Cebuano,0.2334,0,0.6869,0.3680,794.7476,22.7279,39.0484,40.0917,0.7230,0.6738
Cakchiquel-Ewe,0.1607,0,0.5974,0.5115,1.8345,28.0981,47.6952,46.3423,0.7203,0.6467
Cakchiquel-Norwegian,0.1819,0.00225,0.7711,0.5414,943.27575,83.6163,37.51055,42.3918,0.6698,0.5806
Cakchiquel-Vietnamese-tok,0.1414,0,0.7238,0.5209,793.7501,124.9385,38.15405,32.5161,0.6974,0.6850
Cakchiquel-Wolaytta,0.0663,0,1.3542,2.2355,6.5213,4527.9856,42.9506,51.7093,0.6952,0.51635
Cakchiquel-Kannada,0.1462,0,0.7382,1.9738,722.0671,177289.1671,39.9640,54.4662,0.6517,0.6834
Cakchiquel-Dinka,0.1074,0,0.6272,0.7042,8.8964,348.6889,41.9127,47.5591,0.6722,0.5970
Cakchiquel-Indonesian,0.2102,0.00225,0.9829,1.3169,945.6480,1413.1780,38.7322,43.9738,0.6933,0.5601
Cakchiquel-English,0.2417,0.00115,0.6582,0.5466,393.4261,136.69315,44.62025,47.9461,0.7473,0.3728
Cakchiquel-Myanmar,0.12705,0,0.6533,0.5789,352.7436,129.8074,42.6854,49.1643,0.6286,0.7322
Cakchiquel-Jakalteko,0.2080,0,1.0737,1.0425,14.3778,5686.55075,44.9894,49.8737,0.7890,0.6389
Cakchiquel-Slovene,0.1997,0.00115,0.74795,0.5767,676.9368,170.3494,39.6638,30.40985,0.68205,0.6631
Cakchiquel-Greek,0.1552,0.00115,0.6041,0.5671,360.0608,156.6967,44.4466,30.27765,0.6739,0.6906
Cakchiquel-Chinantec,0.1667,0,0.7114,1.0119,71.6312,2464.6253,48.6386,52.3875,0.8279,0.6262
Cakchiquel-Icelandic,0.1821,0.00115,0.7865,0.5516,1131.2852,145.19905,35.9044,31.9506,0.6644,0.6836
Cakchiquel-Polish,0.1886,0.00115,0.7699,0.5629,851.0885,83.4625,38.2674,43.5487,0.6891,0.5673
Cakchiquel-Romani,0.1444,0,0.6974,0.7999,22.8095,408.2988,52.8233,38.2474,0.7292,0.6724
Cakchiquel-Maori,0.1549,0,0.6809,0.6714,539.0284,23.1880,41.8572,41.8931,0.6620,0.6493
Cakchiquel-Cabecar,0.1699,0.00115,0.6474,0.6424,7.1293,11.0030,50.2281,40.7920,0.7584,0.6764
Cakchiquel-Mam,0.1897,0.00115,0.4878,0.6647,10.47435,834.9980,45.6831,43.4668,0.8324,0.6518
Cakchiquel-Latvian,0.1613,0.00115,0.77435,0.5573,1071.9575,152.9338,36.6248,30.8798,0.6477,0.6782
Cakchiquel-Chinese,0.1364,0,0.6497,0.5366,124.2474,125.00255,50.6064,32.6349,0.6176,0.6824
Cakchiquel-Japanese-tok,0.2088,0.00115,0.7116,0.6428,442.0007,85.3224,44.1228,37.2736,0.7289,0.6502
Cakchiquel-Albanian,0.1935,0.00225,0.7772,0.5659,822.1751,31.2904,38.8412,48.1937,0.6724,0.5113
Cakchiquel-Basque,0.1934,0.00115,0.65645,0.6037,272.4573,130.62155,44.7259,33.7653,0.73345,0.6853
Cakchiquel-Esperanto,0.2112,0.00115,0.7465,0.5504,826.1933,160.70345,38.5658,30.7836,0.6943,0.6740
Cakchiquel-Gujarati,0.1797,0,0.7464,1.1604,1050.7709,34634.8668,38.7099,59.1143,0.6976,0.6489
Cakchiquel-Serbian,0.1869,0.00115,0.71905,0.5350,706.8411,142.5124,39.8498,34.9921,0.6748,0.6236
Cakchiquel-Vietnamese,0.1637,0,0.7401,0.5343,864.5443,134.7730,37.67175,32.3110,0.6918,0.6823
Cakchiquel-German,0.1883,0.00115,0.7469,0.5597,767.7462,51.35845,39.2400,46.31305,0.6701,0.5261
Cakchiquel-Telugu,0.1165,0,0.7053,0.3849,560.53695,79.1185,40.9456,34.6192,0.6103,0.6993
Cakchiquel-Creole,0.2132,0,0.7539,0.4813,568.4961,28.1369,42.7467,41.5422,0.68575,0.6076
Cakchiquel-Quichua,0.1674,0,0.7043,0.7849,6.3546,2437.7774,50.0797,44.7929,0.7591,0.6528
Cakchiquel-Achuar,0.1604,0,2.0711,2.4950,3.05505,7149.3640,46.49395,44.87665,0.7484,0.6203
Cakchiquel-Malagasy,0.2051,0.00115,0.70045,0.5204,559.5545,136.79395,43.0290,33.0822,0.7184,0.6692
Cakchiquel-Camsa,0.1812,0,9.3702,9.76765,61155.1371,177402.9386,50.48405,57.0522,0.7114,0.4938
Cakchiquel-Swedish,0.1966,0.00115,0.8037,0.6579,960.9979,86.5476,37.4314,43.9522,0.6806,0.5721
Cakchiquel-Aukan,0.1132,0,0.7544,0.9471,1.63505,1861.2750,47.7435,41.5112,0.7481,0.6230
Cakchiquel-Japanese,0.20735,0.00115,0.7365,0.6192,588.8792,119.76425,42.1392,34.1056,0.7067,0.6577
Cakchiquel-Spanish,0.2412,0.0034,0.7398,0.5545,707.87155,141.2100,40.7096,37.3367,0.6872,0.6195
Cakchiquel-Shuar,0.0423,0,1.3174,1.5375,0.9654,867.66515,43.07705,44.772,0.63185,0.6217
Cakchiquel-Dutch,0.15845,0.00115,3.0075,2.8526,1032.4232,7158.5925,36.5098,33.8698,0.6520,0.6126
Cakchiquel-Slovak,0.1846,0.00115,0.7485,0.5714,939.8872,162.2219,37.6347,30.6114,0.6635,0.6725
Cakchiquel-Amuzgo,0.2033,0,0.5628,0.8841,39.3330,22.0801,47.8507,55.4891,0.8043,0.58255
Cakchiquel-Swahili,0.2116,0,0.7797,0.6298,971.8714,55.96415,37.519,49.6967,0.6928,0.41015
Cakchiquel-Chinese-tok,0.1364,0,0.6497,0.5366,124.2473,124.99755,50.6064,32.6349,0.6176,0.6824
Cakchiquel-Danish,0.18225,0.00225,0.7669,0.5652,766.15125,148.3505,39.2270,31.5621,0.6547,0.6418
Cakchiquel-Amharic,0.1482,0,2.1392,3.0143,533.5666,8011.7979,40.9518,50.5440,0.6390,0.4393
Cakchiquel-Somali,0.1438,0,0.7268,0.7386,569.0026,2863.2056,41.4126,41.9497,0.6593,0.2297
Cakchiquel-Croatian,0.1860,0.00115,0.7866,0.5662,923.2162,146.5207,36.9041,35.01785,0.6562,0.6145
Cakchiquel-Italian,0.19935,0.00115,0.7844,0.5726,722.9847,171.7498,39.7921,30.9971,0.6646,0.6471
Cakchiquel-Akawaio,0.0402,0,0.4605,0.4968,41.2816,2.8318,44.9759,41.8106,0.6875,0.6590
Cakchiquel-Czech,0.1800,0.00115,0.7419,0.5833,591.20785,79.1918,41.3049,43.6991,0.6861,0.5643
Cakchiquel-Tachelhit,0.0219,0,0.2997,0.4378,2.7423,2.8388,51.69455,43.2204,0.5848,0.65135
Cakchiquel-Romanian,0.1986,0.00115,0.7920,0.5887,1140.9668,153.4794,36.0198,32.3316,0.6911,0.6446
Cakchiquel-Lithuanian,0.1844,0.00115,0.8236,0.5574,1055.8257,160.4549,36.5731,32.3160,0.6662,0.6750
Cakchiquel-Wolof,0.1350,0,0.6014,0.7675,23.6441,341.0301,51.9221,44.1337,0.7002,0.57815
Cakchiquel-Zulu,0.1790,0,0.7290,0.78175,661.6946,8.3118,41.0523,48.3421,0.6627,0.5368
Cakchiquel-Thai-tok,0.1422,0,0.7539,0.5254,632.3066,122.8088,40.056,33.1925,0.69065,0.7186
Cakchiquel-Malayalam,0.0979,0,1.0994,1.5503,614.0940,6211.9064,40.3927,49.0345,0.5838,0.5325
Cakchiquel-Hebrew,0.1179,0,0.6744,0.4903,369.9917,139.4700,43.1097,30.8318,0.6155,0.68785
Cakchiquel-Kabyle,0.0742,0,0.4049,0.5897,3.48765,56.4428,43.0379,36.2291,0.6599,0.6945
Cakchiquel-French,0.2265,0.00115,0.7373,0.5694,754.4821,140.5665,39.2902,37.8283,0.69115,0.6089
Cakchiquel-Afrikaans,0.2097,0.00115,0.7317,0.5528,860.0834,142.5950,38.3593,31.4457,0.6896,0.6728
Bulgarian-Latin,0.4529,0.04,0.3909,0.6526,3.69635,2.3019,32.5307,25.6806,0.861,0.70195
Bulgarian-Arabic,0.4601,0.2987,0.2319,0.3270,135.2564,0.4758,37.0636,23.5318,0.8470,0.7551
Bulgarian-Finnish,0.4359,0.3157,0.4145,0.3266,0.9979,5.1732,32.8662,24.3953,0.8673,0.7670
Bulgarian-Ukranian,0.4617,0.31415,0.1864,0.4291,0.7223,1.0519,32.5172,23.8496,0.8797,0.7691
Bulgarian-Uspanteco,0.0925,0.00095,0.7865,0.4236,833.2875,182.0223,36.4116,34.3114,0.4853,0.5877
Bulgarian-Ojibwa,0.00635,0.00095,1.9223,1.7310,15519.5468,60570.28395,42.1104,34.6980,0.2468,0.5951
Bulgarian-Aguaruna,0.0795,0.00185,0.7828,0.52065,795.3175,71.1094,38.5639,31.5227,0.45775,0.5895
Bulgarian-Nepali,0.4465,0.011,1.5081,1.5486,1.6202,3584.8050,33.54815,32.7389,0.8422,0.5794
Bulgarian-Marathi,0.4488,0.106,1.3250,1.1702,5.8934,1867.9868,32.9159,24.5139,0.8522,0.7137
Bulgarian-Lukpa,0.0649,0,0.9204,0.6528,1381.4558,513.909,39.9408,36.32075,0.48175,0.4469
Bulgarian-Turkish,0.4433,0.1959,4.333,3.8879,4.17285,17999.2832,32.8838,30.7187,0.8453,0.5981
Bulgarian-Farsi,0.4807,0.1268,0.46095,0.4953,3.8738,1253.1611,31.7875,32.6311,0.8846,0.4904
Bulgarian-Paite,0.0830,0,0.6912,0.4428,897.8112,63.5779,36.8613,30.9514,0.4415,0.5946
Bulgarian-Hindi,0.4340,0.11495,0.3024,0.4640,17.4764,467.9644,31.0310,32.6139,0.8633,0.5469
Bulgarian-Cherokee,0,0.00095,2.1435,1.5169,12534.4429,35148.6665,41.7235,38.0593,0.1263,0.5809
Bulgarian-K'iche'-SIL,0.0916,0,0.7193,0.5070,883.1042,169.2057,37.61005,32.1739,0.4996,0.5893
Bulgarian-Uma,0.1046,0.00185,2.5581,2.24765,789.6519,5673.2926,41.2551,29.1427,0.5257,0.6046
Bulgarian-Russian,0.4635,0.28,0.4105,0.2913,2.0785,27.1948,31.7983,30.7741,0.8969,0.6512
Bulgarian-Syriac,0,0,5.8670,8.5116,1489210.7918,1183858.9761,31.9155,23.0943,0.0122,0.5425
Bulgarian-Xhosa,0.4536,0,0.6139,0.75455,69.3558,136.1947,36.1501,33.1796,0.8297,0.5167
Bulgarian-English-WEB,0.4635,0.22385,0.25345,0.32055,40.8768,115.2081,35.4811,32.5499,0.8697,0.5788
Bulgarian-K'iche',0,0,1.5237,1.3261,794055.5378,887618.4726,1.9408,1.9217,0.5892,-0.1168
Bulgarian-Thai,0.4492,0.20105,0.42445,0.1904,0.6151,5.2170,31.7419,27.7402,0.8543,0.6938
Bulgarian-Campa,0.043,0,2.5229,2.3094,953.7218,6903.0459,36.5673,30.6434,0.37235,0.5861
Bulgarian-Q'eqchi',0.0854,0,0.5902,0.5097,889.6153,173.6870,38.8059,30.4566,0.4724,0.6145
Bulgarian-Tagalog,0.4634,0.04195,0.34085,0.4140,4.8116,39.3841,33.24705,26.5831,0.8775,0.6982
Bulgarian-Barasana,0.05755,0,3.7268,3.8477,1042.3733,13534.1832,36.56025,38.5640,0.4852,0.3683
Bulgarian-Nahuatl,0.1098,0.00185,1.3279,1.5212,672.0810,4168.1376,41.7133,31.9249,0.5143,0.6139
