Language pair,"F1-score (LaBSE, average)","F1-score (LASER, average)","Gromov-Hausdorff dist. (LaBSE, average)","Gromov-Hausdorff dist. (LASER, average)","Singular value gap (LaBSE, average)","Singular value gap (LASER, average)","ECOND-HM (LaBSE, average)","ECOND-HM (LASER, average)","Average margin score (LaBSE, average)","Average margin score (LASER, average)"
Portuguese-Slovak,0.9899,0.682,0.1791,0.42165,2.3079,10.2680,31.5338,28.1445,1.3111,0.8712
Portuguese-Amuzgo,0.2264,0,0.8667,0.6068,1249.3055,194.5298,38.4040,47.87525,0.6523,0.5195
Portuguese-Swahili,0.9946,0.2408,0.4624,0.33775,4.2851,228.9892,31.4439,43.5068,1.2840,0.6326
Portuguese-Chinese-tok,0.9929,0.3488,0.3614,0.4086,385.1965,4.8193,40.1243,29.8472,1.2997,0.7903
Portuguese-Danish,0.9960,0.6355,0.2812,0.2633,2.5738,7.1795,32.6385,28.9479,1.3141,0.8617
Portuguese-Amharic,0.9627,0.0478,2.8760,3.0547,39.2495,8356.88025,33.8412,44.15225,1.2833,0.5530
Portuguese-Somali,0.9888,0.0151,0.3374,0.9310,29.6801,3925.8109,34.1371,37.4505,1.2866,0.3902
Portuguese-Croatian,0.9952,0.6253,0.2031,0.2876,1.4865,5.8997,31.0252,31.8288,1.3163,0.8633
Portuguese-Italian,0.9962,0.7145,0.2737,0.2850,6.2404,12.0261,33.0349,28.4720,1.34315,0.8978
Portuguese-Akawaio,0.0987,0.0040,0.9106,0.6955,1260.7619,75.35885,36.4870,37.3401,0.6400,0.5574
Portuguese-Czech,0.9862,0.5322,0.2620,0.21205,25.6528,3.5113,34.0589,38.8195,1.3153,0.8093
Portuguese-Tachelhit,0.0442,0,0.5733,0.5197,836.36795,76.73525,40.7364,38.4584,0.6045,0.5634
Portuguese-Romanian,0.9962,0.6042,0.3305,0.3055,22.55185,8.1749,30.3852,29.5924,1.2987,0.8508
Portuguese-Lithuanian,0.9968,0.6516,0.2732,0.3816,11.6968,11.1399,30.79865,29.5812,1.3068,0.8665
Portuguese-Wolof,0.4118,0,0.6223,0.4658,595.8604,366.8116,40.9109,39.1852,0.8949,0.5254
Portuguese-Zulu,0.9873,0.00185,0.3676,0.5984,12.6225,78.8188,33.8985,42.4679,1.2701,0.5187
Portuguese-Thai-tok,0.9703,0.2596,0.3088,0.4377,17.9851,4.09855,33.2236,30.3140,1.2251,0.7810
