Language pair,Combined sentences (LaBSE),Combined in-family sentences (LaBSE),Combined in-genus sentences (LaBSE),Combined sentences (LASER),Combined in-family sentences (LASER),Combined in-genus sentences (LASER),Same Family?,Same Genus?,"Character-level Overlap (multiset Jaccard coefficient, Book of Matthew)","Token-level Overlap (multiset Jaccard coefficient, Book of John)",Same Word Order?,Same Polysynthesis Status?,Geographic Distance (lang2vec),Inventory Distance (lang2vec),Syntactic Distance (lang2vec),Phonological Distance (lang2vec)
Galela-Cakchiquel,0,0,0,0,0,0,0,0,0.0332,0.1248,0,0,0.2755,0.1641,0.3316,0.3318
Galela-Bulgarian,152800000,11616265100,3338920000,4900000,377177649,49200000,0,0,0.0168,0.1553,0,1,0.1813,0.3043,0.441,0.4024
Galela-Latin,14470000,11616265100,2513780000,19000,377177649,36284000,0,0,0.297,0.1467,0,1,0.2061,0.1594,0.4307,0.4024
Galela-Arabic,197900000,495945000,475664000,8200000,12677000,12388000,0,0,0.0075,0.1459,0,1,0.1434,0.2895,0.5203,0.4949
Galela-Finnish,163500000,285500000,352100000,7900000,13201000,13200000,0,0,0.3048,0.175,0,1,0.1686,0.1932,0.4339,0.3453
Galela-Ukranian,183100000,11616265100,3338920000,1400000,377177649,49200000,0,0,0.0152,0.1567,0,1,0.1799,0.2488,0.5031,0.4024
Galela-Uspanteco,0,0,0,0,0,0,0,0,0.2449,0.1591,0,0,0.275,0.1641,0.3316,0.3318
Galela-Ojibwa,0,0,0,0,0,0,0,0,0.0138,0.1536,0,0,0.233,0.3069,0.3851,0.2857
Galela-Aguaruna,0,0,0,0,0,0,0,0,0.467,0.1901,1,0,0.301,0.3784,0.5581,0.1429
Galela-Nepali,33170000,11616265100,824900000,0,0,0,0,0,0.0266,0.1332,1,1,0.0557,0.1819,0.6226,0.4024
Galela-Marathi,64700000,11616265100,824900000,31000,377177649,8029000,0,0,0.0318,0.1473,1,1,0.0651,0.2574,0.5859,0.3701
Galela-Lukpa,0,0,0,0,0,0,0,0,0.2949,0.1741,0,1,0.2507,0.1824,0.4543,0.5442
Galela-Turkish,254000000,480227000,480227000,5700000,6283000,6283000,0,0,0.356,0.1655,1,1,0.167,0.3649,0.5985,0.4302
Galela-Farsi,218000000,11616265100,824900000,0,0,0,0,0,0.0274,0.1347,1,1,0.117,0.2061,0.4991,0.4545
Galela-Paite,0,0,0,0,0,0,0,0,0.4543,0.1865,0,1,0.0387,0.1824,0.5518,0.4302
Galela-Hindi,134800000,11616265100,824900000,288000,377177649,8029000,0,0,0.0359,0.1414,1,1,0.0682,0.3525,0.5031,0.4545
Galela-Cherokee,0,0,0,0,0,0,0,0,0.0199,0.1731,1,0,0.2647,0.2298,0.441,0.2857
Galela-K'iche'-SIL,49440000,334050000,227740000,0,0,0,0,0,0.4276,0.1635,1,1,0.0647,0.2414,0.6559,0.3701
Galela-Uma,0,0,0,0,0,0,0,0,0.4905,0.243,0,1,0.0023,0.0451,0.2231,0.2023
Galela-Russian,1761000000,11616265100,3338920000,9300000,377177649,49200000,0,0,0.0297,0.1552,0,1,0.103,0.3235,0.509,0.4024
Galela-Syriac,0,0,0,0,0,0,0,0,0.0133,0.1536,0,1,0.1473,0.2079,0.467,0.4545
Galela-Xhosa,4690100,145299300,145299300,0,0,0,0,0,0.4627,0.1845,0,1,0.1863,0.2075,0.3691,0.4655
Galela-English-WEB,2000000000,11616265100,3916959000,220242917,377177649,259221917,0,0,0.4009,0.1741,0,1,0.2142,0.2831,0.4188,0.3162
Galela-K'iche',0,0,0,15000,12677000,77000,0,0,0,0.0312,0,1,0.2254,0.4492,0.3926,0.4302
Galela-Thai,116700000,116700000,116700000,4100000,4100000,4100000,0,0,0.0055,0.1321,0,1,0.0221,0.1797,0.3125,0.2362
Galela-Campa,0,0,0,0,0,0,0,0,0.4315,0.1958,0,0,0.3037,0.3206,0.4056,0.4331
Galela-Q'eqchi',0,0,0,0,0,0,0,0,0.3972,0.1397,0,0,0.2778,0.2299,0.3926,0.4024
Galela-Tagalog,52600000,517929400,517929400,36000,7592560,7592560,0,0,0.5475,0.1739,0,1,0.0047,0.1014,0.3999,0.1633
Galela-Barasana,0,0,0,0,0,0,0,0,0.4116,0.1349,0,0,0.3089,0.2739,0.6272,0.622
Galela-Nahuatl,0,0,0,0,0,0,0,0,0.4544,0.1716,0,0,0.2579,0.1928,0.2929,0.4331
Galela-Portuguese,507000000,11616265100,2513780000,8300000,377177649,36284000,0,0,0.3808,0.1762,0,1,0.2339,0.2495,0.4339,0.3701
Galela-Zarma,0,0,0,0,0,0,0,0,0.4561,0.1884,1,1,0.2476,0.0978,0.4478,0.3701
Galela-Korean,211000000,211000000,211000000,1400000,1400000,1400000,0,0,0.0143,0.1241,1,1,0.0303,0.2388,0.6886,0.1982
Galela-Coptic,0,0,0,0,0,0,0,0,0.0183,0.1518,0,1,0.1734,0.2745,0.38,0.4759
Galela-Hungarian,188600000,11616265100,352100000,5300000,377177649,13200000,0,0,0.3702,0.1642,0,1,0.1891,0.2154,0.4137,0.4024
Galela-Shona,5595200,145299300,145299300,0,0,0,0,0,0.4341,0.1841,0,1,0.0305,0.126,0.3125,0.1633
Galela-Cebuano,11081000,517929400,517929400,0,0,0,0,0,0.5841,0.1866,0,1,0.0014,0.092,0.4323,0.4024
Galela-Ewe,0,0,0,0,0,0,0,0,0.4034,0.2017,0,1,0.2536,0.2677,0.333,0.2929
Galela-Norwegian,170800000,11616265100,3916959000,4100000,377177649,259221917,0,0,0.3707,0.1575,0,1,0.1912,0.3341,0.4969,0.4024
Galela-Vietnamese-tok,221000000,250798000,250798000,4000000,4000625,4000625,0,0,0.254,0.1602,0,1,0.0177,0.2996,0.29,0.2362
Galela-Wolaytta,0,0,0,0,0,0,0,0,0.5343,0.2148,1,1,0.1605,0.2421,0.7271,0.4302
Galela-Kannada,0,0,0,0,0,0,0,0,0.0186,0.1392,0,0,0.2751,0.2299,0.2804,0.3318
Galela-Dinka,0,0,0,0,0,0,0,0,0.3819,0.1822,0,1,0.186,0.1997,0.3518,0.3453
Galela-Indonesian,283000000,517929400,517929400,4300000,7592560,7592560,0,0,0.5823,0.1732,0,1,0.0112,0.0663,0.2813,0.2023
Galela-English,2000000000,11616265100,3916959000,220242917,377177649,259221917,0,0,0.3977,0.1641,0,1,0.2142,0.2831,0.4188,0.3162
Galela-Myanmar,42820000,1313269000,42820000,2000,8308000,2000,0,0,0.006,0.1239,1,1,0.0356,0.1995,0.6886,0.2929
Galela-Jakalteko,0,0,0,0,0,0,0,0,0.4731,0.1675,0,0,0.2735,0.1212,0.3813,0.4024
Galela-Slovene,129500000,11616265100,3338920000,5200000,377177649,49200000,0,0,0.3639,0.1753,0,1,0.1982,0.286,0.4969,0.4024
Galela-Greek,204000000,11616265100,204000000,6500000,377177649,6500000,0,0,0.0312,0.1457,0,1,0.1822,0.3824,0.4387,0.4024
Galela-Chinantec,0,0,0,0,0,0,0,0,0.3873,0.059,0,1,0.2632,0.3609,0.3489,0.5636
Galela-Icelandic,108080000,11616265100,3916959000,2000000,377177649,259221917,0,0,0.3359,0.1714,0,1,0.2127,0.2677,0.4905,0.4302
Galela-Polish,421000000,11616265100,3338920000,5500000,377177649,49200000,0,0,0.3642,0.1713,0,1,0.1872,0.2233,0.509,0.4024
Galela-Romani,0,0,0,0,0,0,0,0,0.4706,0.2123,0,1,0.1892,0.2298,0.4936,0.4024
Galela-Maori,6419000,517929400,517929400,0,0,0,0,0,0.5003,0.1724,0,1,0.0811,0.3206,0.4769,0.3239
Galela-Cabecar,0,0,0,0,0,0,0,0,0.4292,0.2082,1,1,0.2903,0.1401,0.4846,0.3318
Galela-Mam,0,0,0,0,0,0,0,0,0.3978,0.1473,0,0,0.274,0.2061,0.3453,0.3318
Galela-Latvian,121900000,11616265100,220200000,2000000,377177649,5200000,0,0,0.3433,0.1728,0,1,0.1751,0.2463,0.5248,0.4302
Galela-Chinese,1270000000,1313269000,1270000000,8300000,8308000,8306000,0,0,0.0686,0.1239,0,1,0.0374,0.295,0.4991,0.371
Galela-Japanese-tok,1410000000,1410000000,1410000000,3200000,3200000,3200000,0,0,0.0821,0.1239,1,1,0.0272,0.1991,0.7311,0.6414
Galela-Albanian,89270000,11616265100,89270000,3200000,377177649,3200000,0,0,0.3601,0.1646,0,1,0.1925,0.2136,0.4755,0.4545
Galela-Basque,52730000,52730000,52730000,1200000,1200000,1200000,0,0,0.4003,0.1772,1,1,0.2279,0.3323,0.3811,0.3318
Galela-Esperanto,74600000,74600000,74600000,397000,414000,397000,0,0,0.4279,0.1742,0,1,0.214,0.2481,0.4936,0.4302
Galela-Gujarati,89920000,11616265100,824900000,0,0,0,0,0,0.0485,0.1456,1,1,0.0791,0.2765,0.5908,0.3701
Galela-Serbian,68300000,11616265100,3338920000,4000000,377177649,49200000,0,0,0.3613,0.1625,0,1,0.1867,0.2173,0.4755,0.4024
Galela-Vietnamese,221000000,250798000,250798000,4000000,4000625,4000625,0,0,0.2683,0.1605,0,1,0.0177,0.2996,0.29,0.2362
Galela-German,701000000,11616265100,3916959000,8700000,377177649,259221917,0,0,0.3977,0.163,0,1,0.1999,0.2966,0.4878,0.3939
Galela-Telugu,106310000,334050000,106310000,33000,448000,33000,0,0,0.0298,0.1373,1,1,0.0603,0.3278,0.6759,0.3701
Galela-Creole,70091000,70091000,70091000,0,0,0,0,0,0.461,0.16,0,1,0.2961,0.1697,0.3897,0.3701
Galela-Quichua,0,0,0,0,0,0,0,0,0.4253,0.192,1,0,0.3016,0.2536,0.6665,0.3318
Galela-Achuar,0,0,0,0,0,0,0,0,0.503,0.2035,1,1,0.302,0.2675,0.6116,0.2285
Galela-Malagasy,8427000,517929400,517929400,355000,7592560,7592560,0,0,0.473,0.1693,0,1,0.1392,0.1375,0.4107,0.2023
Galela-Camsa,0,0,0,0,0,0,0,0,0.4281,0.1731,0,0,0.3021,0.2283,0.5076,0.3318
Galela-Swedish,246000000,11616265100,3916959000,7800000,377177649,259221917,0,0,0.4035,0.1637,0,1,0.1822,0.3276,0.4838,0.4302
Galela-Aukan,0,0,0,0,0,0,0,0,0.6095,0.2039,0,1,0.3172,0.1425,0.333,0.4024
Galela-Japanese,1410000000,1410000000,1410000000,3200000,3200000,3200000,0,0,0,0.1239,1,1,0.0272,0.1991,0.7311,0.6414
Galela-Spanish,436000000,11616265100,2513780000,4800000,377177649,36284000,0,0,0.404,0.1675,0,1,0.2312,0.2463,0.4202,0.4024
Galela-Shuar,0,0,0,0,0,0,0,0,0.4575,0.1858,1,0,0.3008,0.3069,0.5698,0.3828
Galela-Dutch,451000000,11616265100,3916959000,8400000,377177649,259221917,0,0,0.4216,0.1696,0,1,0.2075,0.2697,0.4755,0.4302
Galela-Slovak,156500000,11616265100,3338920000,5200000,377177649,49200000,0,0,0.3651,0.1714,0,1,0.1895,0.2463,0.4755,0.4024
Galela-Amuzgo,0,0,0,0,0,0,0,0,0.4715,0.1139,0,1,0.2607,0.2463,0.3571,0.2857
Galela-Swahili,87840000,145299300,145299300,173000,173000,173000,0,0,0.5093,0.1898,0,1,0.1623,0.1429,0.3489,0.3162
Galela-Chinese-tok,1270000000,1313269000,1270000000,8300000,8308000,8306000,0,0,0.0457,0.1239,0,1,0.0374,0.295,0.4991,0.371
Galela-Danish,177100000,11616265100,3916959000,7900000,377177649,259221917,0,0,0.3827,0.1732,0,1,0.1979,0.2667,0.5125,0.4302
Galela-Amharic,29492000,495945000,475664000,88000,12677000,12388000,0,0,0.0236,0.1241,1,1,0.1551,0.1097,0.5784,0.4024
Galela-Somali,11825000,495945000,11825000,85000,12677000,85000,0,0,0.5502,0.1894,1,1,0.1406,0.3069,0.5248,0.4545
Galela-Croatian,128900000,11616265100,3338920000,4000000,377177649,49200000,0,0,0.3677,0.1723,0,1,0.1955,0.2283,0.4689,0.4024
Galela-Italian,279000000,11616265100,2513780000,8300000,377177649,36284000,0,0,0.4022,0.1616,0,1,0.2047,0.221,0.441,0.4024
Galela-Akawaio,0,0,0,0,0,0,0,0,0.4141,0.1469,1,0,0.3145,0.2079,0.5384,0.5714
Galela-Czech,263000000,11616265100,3338920000,5500000,377177649,49200000,0,0,0.334,0.173,0,1,0.1945,0.267,0.5581,0.4024
Galela-Tachelhit,0,0,0,0,0,0,0,0,0.3835,0.1695,0,1,0.2545,0.2767,0.4266,0.4024
Galela-Romanian,147700000,11616265100,2513780000,4900000,377177649,36284000,0,0,0.3733,0.179,0,1,0.1812,0.1761,0.4755,0.3701
Galela-Lithuanian,98300000,11616265100,220200000,3200000,377177649,5200000,0,0,0.3625,0.1719,0,1,0.1766,0.295,0.5307,0.496
Galela-Wolof,1750000,145299300,145299300,0,0,0,0,0,0.4262,0.1914,0,1,0.2802,0.1985,0.4024,0.1633
Galela-Zulu,10162000,145299300,145299300,0,0,0,0,0,0.4505,0.1802,0,1,0.1792,0.221,0.3851,0.3939
Galela-Thai-tok,116700000,116700000,116700000,4100000,4100000,4100000,0,0,0.0543,0.1321,0,1,0.0221,0.1797,0.3125,0.2362
Galela-Malayalam,60900000,334050000,227740000,373000,448000,415000,0,0,0.0234,0.1361,1,1,0.0624,0.2315,0.6968,0.3318
Galela-Hebrew,172500000,495945000,475664000,4100000,12677000,12388000,0,0,0.0264,0.1333,0,1,0.1641,0.3027,0.3745,0.4949
Galela-Kabyle,0,0,0,0,0,0,0,0,0.4282,0.1817,0,0,0.2751,0.2299,0.2804,0.3318
Galela-French,954000000,11616265100,2513780000,8800000,377177649,36284000,0,0,0.3718,0.1739,0,1,0.2168,0.2697,0.4545,0.4759
Galela-Afrikaans,44070000,11616265100,3916959000,67000,377177649,259221917,0,0,0.446,0.1554,0,1,0.1827,0.2585,0.4107,0.4302
Cakchiquel-Bulgarian,152800000,11616265100,3338920000,4900000,377177649,49200000,0,0,0.0044,0.0895,1,0,0.181,0.2938,0.2462,0.1056
Cakchiquel-Latin,14470000,11616265100,2513780000,19000,377177649,36284000,0,0,0.0659,0.0791,0,0,0.1596,0.2293,0.3324,0.1056
Cakchiquel-Arabic,197900000,495945000,475664000,8200000,12677000,12388000,0,0,0,0.0764,0,0,0.2356,0.2291,0.3308,0.2441
Cakchiquel-Finnish,163500000,285500000,352100000,7900000,13201000,13200000,0,0,0.0631,0.1014,1,0,0.1531,0.2658,0.3419,0.1835
Cakchiquel-Ukranian,183100000,11616265100,3338920000,1400000,377177649,49200000,0,0,0.0046,0.0895,1,0,0.1737,0.2658,0.2811,0.1056
Cakchiquel-Uspanteco,0,0,0,0,0,0,1,0,0.3524,0.3479,1,1,0,0,0,0
Cakchiquel-Ojibwa,0,0,0,0,0,0,0,0,0.0038,0.087,0,1,0.0338,0.2295,0.3761,0.1982
Cakchiquel-Aguaruna,0,0,0,0,0,0,0,0,0.0815,0.1393,0,1,0.0141,0.3691,0.5068,0.1982
Cakchiquel-Nepali,33170000,11616265100,824900000,0,0,0,0,0,0.0013,0.0711,0,0,0.2755,0.2734,0.4735,0.1056
Cakchiquel-Marathi,64700000,11616265100,824900000,31000,377177649,8029000,0,0,0.0019,0.0836,0,0,0.2895,0.3216,0.5122,0.0572
Cakchiquel-Lukpa,0,0,0,0,0,0,0,0,0.0204,0.1414,1,0,0.1599,0.3132,0.4643,0.2538
Cakchiquel-Turkish,254000000,480227000,480227000,5700000,6283000,6283000,0,0,0.0735,0.0971,0,0,0.1992,0.4091,0.4933,0.1472
Cakchiquel-Farsi,218000000,11616265100,824900000,0,0,0,0,0,0.0024,0.0749,0,0,0.2514,0.1942,0.3698,0.1835
Cakchiquel-Paite,0,0,0,0,0,0,0,0,0.0363,0.1184,0,0,0.2825,0.2559,0.6665,0.1472
Cakchiquel-Hindi,134800000,11616265100,824900000,288000,377177649,8029000,0,0,0.002,0.0781,0,0,0.2781,0.2723,0.3581,0.1835
Cakchiquel-Cherokee,0,0,0,0,0,0,0,0,0.0016,0.097,0,1,0.0124,0.2538,0.4021,0.1982
Cakchiquel-K'iche'-SIL,49440000,334050000,227740000,0,0,0,0,0,0.2609,0.4132,0,0,0.2954,0.307,0.52,0.0572
Cakchiquel-Uma,0,0,0,0,0,0,0,0,0.049,0.1268,0,0,0.2917,0.1246,0.3053,0.1472
Cakchiquel-Russian,1761000000,11616265100,3338920000,9300000,377177649,49200000,0,0,0.0044,0.0887,1,0,0.2134,0.3134,0.2897,0.1056
Cakchiquel-Syriac,0,0,0,0,0,0,0,0,0,0.0768,0,0,0.2302,0.196,0.306,0.1835
Cakchiquel-Xhosa,4690100,145299300,145299300,0,0,0,0,0,0.0449,0.1028,1,0,0.2426,0.2994,0.4666,0.125
Cakchiquel-English-WEB,2000000000,11616265100,3916959000,220242917,377177649,259221917,0,0,0.0743,0.0899,1,0,0.1284,0.3428,0.2703,0.1472
Cakchiquel-K'iche',0,0,0,15000,12677000,77000,0,0,0,0.0312,0,0,0.1486,0.4115,0.3838,0.1472
Cakchiquel-Thai,116700000,116700000,116700000,4100000,4100000,4100000,0,0,0.0025,0.0643,1,0,0.2952,0.2748,0.3897,0.1835
Cakchiquel-Campa,0,0,0,0,0,0,0,0,0.1216,0.1246,0,1,0.0243,0.3103,0.3419,0.2929
Cakchiquel-Q'eqchi',0,0,0,0,0,0,1,0,0.1716,0.2033,0,1,0.0001,0.0933,0.1527,0.3292
Cakchiquel-Tagalog,52600000,517929400,517929400,36000,7592560,7592560,0,0,0.0267,0.108,0,0,0.2742,0.2055,0.3404,0.1056
Cakchiquel-Barasana,0,0,0,0,0,0,0,0,0.0961,0.1406,0,1,0.0153,0.2965,0.5733,0.4697
Cakchiquel-Nahuatl,0,0,0,0,0,0,0,0,0.1299,0.1764,0,1,0.002,0.2148,0.178,0.2929
Cakchiquel-Portuguese,507000000,11616265100,2513780000,8300000,377177649,36284000,0,0,0.0901,0.0996,1,0,0.1272,0.289,0.2103,0.0572
Cakchiquel-Zarma,0,0,0,0,0,0,0,0,0.0565,0.118,0,0,0.1595,0.1987,0.5135,0.0572
Cakchiquel-Korean,211000000,211000000,211000000,1400000,1400000,1400000,1,0,0.0001,0.063,0,0,0.2292,0.2845,0.5525,0.25
Cakchiquel-Coptic,0,0,0,0,0,0,0,0,0,0.0801,1,0,0.2105,0.2129,0.3231,0.2155
Cakchiquel-Hungarian,188600000,11616265100,352100000,5300000,377177649,13200000,0,0,0.0626,0.1076,1,0,0.1675,0.2301,0.306,0.1056
Cakchiquel-Shona,5595200,145299300,145299300,0,0,0,0,0,0.0788,0.1051,1,0,0.2853,0.2273,0.3897,0.3292
Cakchiquel-Cebuano,11081000,517929400,517929400,0,0,0,0,0,0.0249,0.106,0,0,0.2768,0.1737,0.3331,0.1056
Cakchiquel-Ewe,0,0,0,0,0,0,0,0,0.025,0.1265,1,0,0.1598,0.3363,0.4925,0.2441
Cakchiquel-Norwegian,170800000,11616265100,3916959000,4100000,377177649,259221917,0,0,0.0762,0.0952,0,0,0.1402,0.3965,0.3242,0.1056
Cakchiquel-Vietnamese-tok,221000000,250798000,250798000,4000000,4000625,4000625,0,0,0.09,0.1003,1,0,0.2851,0.3906,0.3397,0.2856
Cakchiquel-Wolaytta,0,0,0,0,0,0,0,0,0.0556,0.1277,0,0,0.2496,0.2307,0.5489,0.1472
Cakchiquel-Kannada,0,0,0,0,0,0,1,0,0.0012,0.0752,0,1,0,0.062,0.1573,0
Cakchiquel-Dinka,0,0,0,0,0,0,0,0,0.0701,0.1407,0,0,0.2261,0.2457,0.3424,0.1835
Cakchiquel-Indonesian,283000000,517929400,517929400,4300000,7592560,7592560,0,0,0.0628,0.0889,1,0,0.307,0.1916,0.2444,0.1472
Cakchiquel-English,2000000000,11616265100,3916959000,220242917,377177649,259221917,0,0,0.0728,0.0955,1,0,0.1284,0.3428,0.2703,0.1472
Cakchiquel-Myanmar,42820000,1313269000,42820000,2000,8308000,2000,0,0,0,0.0627,0,0,0.2879,0.2636,0.7104,0.2441
Cakchiquel-Jakalteko,0,0,0,0,0,0,1,0,0.1524,0.2405,0,1,0,0.1638,0.2876,0.3292
Cakchiquel-Slovene,129500000,11616265100,3338920000,5200000,377177649,49200000,0,0,0.0879,0.1069,1,0,0.1598,0.2753,0.2982,0.1056
Cakchiquel-Greek,204000000,11616265100,204000000,6500000,377177649,6500000,0,0,0.0004,0.0821,1,0,0.182,0.4029,0.2407,0.1056
Cakchiquel-Chinantec,0,0,0,0,0,0,0,0,0.126,0.1196,0,0,0.001,0.3772,0.2629,0.3876
Cakchiquel-Icelandic,108080000,11616265100,3916959000,2000000,377177649,259221917,0,0,0.0964,0.1002,1,0,0.1037,0.3098,0.3156,0.1472
Cakchiquel-Polish,421000000,11616265100,3338920000,5500000,377177649,49200000,0,0,0.0883,0.1012,1,0,0.1603,0.3203,0.2643,0.1056
Cakchiquel-Romani,0,0,0,0,0,0,0,0,0.065,0.1258,1,0,0.175,0.3367,0.3308,0.1056
Cakchiquel-Maori,6419000,517929400,517929400,0,0,0,0,0,0.0508,0.0877,0,0,0.1885,0.4192,0.4595,0.5257
Cakchiquel-Cabecar,0,0,0,0,0,0,0,0,0.0814,0.1406,0,0,0.002,0.1595,0.4925,0
Cakchiquel-Mam,0,0,0,0,0,0,1,0,0.1829,0.262,0,1,0,0.1136,0.1882,0
Cakchiquel-Latvian,121900000,11616265100,220200000,2000000,377177649,5200000,0,0,0.0621,0.1011,1,0,0.1624,0.2055,0.3761,0.1472
Cakchiquel-Chinese,1270000000,1313269000,1270000000,8300000,8308000,8306000,0,0,0,0.0627,1,0,0.2377,0.3394,0.3424,0.3136
Cakchiquel-Japanese-tok,1410000000,1410000000,1410000000,3200000,3200000,3200000,0,0,0,0.0627,0,0,0.2233,0.2809,0.5832,0.3292
Cakchiquel-Albanian,89270000,11616265100,89270000,3200000,377177649,3200000,0,0,0.1083,0.1047,1,0,0.1748,0.2844,0.2554,0.1835
Cakchiquel-Basque,52730000,52730000,52730000,1200000,1200000,1200000,0,0,0.1269,0.1251,0,0,0.1322,0.294,0.3286,0
Cakchiquel-Esperanto,74600000,74600000,74600000,397000,414000,397000,0,0,0.0915,0.1063,0,0,0.1365,0.2615,0.2813,0.1472
Cakchiquel-Gujarati,89920000,11616265100,824900000,0,0,0,0,0,0.0019,0.0823,0,0,0.2784,0.3604,0.4419,0.0572
Cakchiquel-Serbian,68300000,11616265100,3338920000,4000000,377177649,49200000,0,0,0.0701,0.0987,1,0,0.1744,0.2055,0.3068,0.1056
Cakchiquel-Vietnamese,221000000,250798000,250798000,4000000,4000625,4000625,0,0,0.0902,0.1005,1,0,0.2851,0.3906,0.3397,0.2856
Cakchiquel-German,701000000,11616265100,3916959000,8700000,377177649,259221917,0,0,0.0961,0.0987,0,0,0.1536,0.3107,0.3482,0.2441
Cakchiquel-Telugu,106310000,334050000,106310000,33000,448000,33000,0,0,0.0013,0.0762,0,0,0.2928,0.3439,0.5068,0.0572
Cakchiquel-Creole,70091000,70091000,70091000,0,0,0,0,0,0.0426,0.1012,1,0,0.0078,0.2116,0.2162,0.0572
Cakchiquel-Quichua,0,0,0,0,0,0,0,0,0.1388,0.1471,0,1,0.0104,0.1515,0.5207,0.125
Cakchiquel-Achuar,0,0,0,0,0,0,0,0,0.1001,0.1539,0,0,0.0123,0.2565,0.4998,0.134
Cakchiquel-Malagasy,8427000,517929400,517929400,355000,7592560,7592560,0,0,0.0714,0.0999,0,0,0.2795,0.1871,0.4246,0.1472
Cakchiquel-Camsa,0,0,0,0,0,0,0,0,0.1125,0.1331,0,1,0.0095,0.2167,0.5135,0
Cakchiquel-Swedish,246000000,11616265100,3916959000,7800000,377177649,259221917,0,0,0.092,0.1022,1,0,0.1498,0.3906,0.3066,0.1472
Cakchiquel-Aukan,0,0,0,0,0,0,0,0,0.0133,0.1187,1,0,0.0337,0.2167,0.3233,0.1056
Cakchiquel-Japanese,1410000000,1410000000,1410000000,3200000,3200000,3200000,0,0,0,0.0627,0,0,0.2233,0.2809,0.5832,0.3292
Cakchiquel-Spanish,436000000,11616265100,2513780000,4800000,377177649,36284000,0,0,0.1038,0.1113,1,0,0.134,0.2938,0.2298,0.2174
Cakchiquel-Shuar,0,0,0,0,0,0,0,0,0.0982,0.1177,0,1,0.0122,0.263,0.52,0.4226
Cakchiquel-Dutch,451000000,11616265100,3916959000,8400000,377177649,259221917,0,0,0.0851,0.0936,0,0,0.1386,0.2587,0.3325,0.1472
Cakchiquel-Slovak,156500000,11616265100,3338920000,5200000,377177649,49200000,0,0,0.094,0.1053,1,0,0.1642,0.235,0.2811,0.1056
Cakchiquel-Amuzgo,0,0,0,0,0,0,0,0,0.1493,0.2376,0,0,0.0014,0.2055,0.3242,0.1982
Cakchiquel-Swahili,87840000,145299300,145299300,173000,173000,173000,0,0,0.0475,0.1061,1,0,0.2589,0.2388,0.4209,0.2538
Cakchiquel-Chinese-tok,1270000000,1313269000,1270000000,8300000,8308000,8306000,0,0,0,0.0627,1,0,0.2377,0.3394,0.3424,0.3136
Cakchiquel-Danish,177100000,11616265100,3916959000,7900000,377177649,259221917,0,0,0.0727,0.0976,1,0,0.1433,0.3327,0.3599,0.1472
Cakchiquel-Amharic,29492000,495945000,475664000,88000,12677000,12388000,0,0,0.0013,0.0635,0,0,0.2481,0.1811,0.4363,0.1056
Cakchiquel-Somali,11825000,495945000,11825000,85000,12677000,85000,0,0,0.0677,0.112,0,0,0.2655,0.2713,0.4801,0.1835
Cakchiquel-Croatian,128900000,11616265100,3338920000,4000000,377177649,49200000,0,0,0.0702,0.0981,1,0,0.1645,0.2167,0.2462,0.1056
Cakchiquel-Italian,279000000,11616265100,2513780000,8300000,377177649,36284000,0,0,0.0846,0.0936,1,0,0.159,0.2375,0.2462,0.1056
Cakchiquel-Akawaio,0,0,0,0,0,0,0,0,0.0392,0.1218,0,1,0.0234,0.196,0.5421,0.1982
Cakchiquel-Czech,263000000,11616265100,3338920000,5500000,377177649,49200000,0,0,0.0826,0.1065,1,0,0.1568,0.2559,0.3698,0.1056
Cakchiquel-Tachelhit,0,0,0,0,0,0,0,0,0.0614,0.1108,0,0,0.1246,0.2375,0.394,0.1056
Cakchiquel-Romanian,147700000,11616265100,2513780000,4900000,377177649,36284000,0,0,0.0811,0.107,1,0,0.1757,0.2195,0.2811,0.0572
Cakchiquel-Lithuanian,98300000,11616265100,220200000,3200000,377177649,5200000,0,0,0.0604,0.1011,1,0,0.1641,0.2568,0.3325,0.175
Cakchiquel-Wolof,1750000,145299300,145299300,0,0,0,0,0,0.054,0.1285,1,0,0.1129,0.2127,0.3887,0.1056
Cakchiquel-Zulu,10162000,145299300,145299300,0,0,0,0,0,0.0471,0.104,1,0,0.2494,0.294,0.4541,0.3386
Cakchiquel-Thai-tok,116700000,116700000,116700000,4100000,4100000,4100000,0,0,0.0023,0.0643,1,0,0.2952,0.2748,0.3897,0.1835
Cakchiquel-Malayalam,60900000,334050000,227740000,373000,448000,415000,0,0,0.001,0.0749,0,0,0.3007,0.3175,0.5489,0
Cakchiquel-Hebrew,172500000,495945000,475664000,4100000,12677000,12388000,0,0,0,0.0672,1,0,0.2155,0.3538,0.2971,0.2441
Cakchiquel-Kabyle,0,0,0,0,0,0,0,0,0.0689,0.1301,0,1,0,0.062,0.1573,0
Cakchiquel-French,954000000,11616265100,2513780000,8800000,377177649,36284000,0,0,0.0895,0.1008,1,0,0.1359,0.2587,0.2643,0.2155
Cakchiquel-Afrikaans,44070000,11616265100,3916959000,67000,377177649,259221917,0,0,0.0682,0.0949,1,0,0.2464,0.3031,0.315,0.1472
Bulgarian-Latin,167270000,23232530200,5852700000,4919000,754355298,85484000,1,0,0.0127,0.3815,0,1,0.0023,0.1715,0.1808,0
Bulgarian-Arabic,350700000,12112210100,3814584000,13100000,389854649,61588000,0,0,0.0115,0.3975,0,1,0.0118,0.3239,0.3087,0.1548
