Language pair,Combined sentences (LaBSE),Combined in-family sentences (LaBSE),Combined in-genus sentences (LaBSE),Combined sentences (LASER),Combined in-family sentences (LASER),Combined in-genus sentences (LASER),Same Family?,Same Genus?,"Character-level Overlap (multiset Jaccard coefficient, Book of Matthew)","Token-level Overlap (multiset Jaccard coefficient, Book of John)",Same Word Order?,Same Polysynthesis Status?,Geographic Distance (lang2vec),Inventory Distance (lang2vec),Syntactic Distance (lang2vec),Phonological Distance (lang2vec)
Romani-Malayalam,60900000,334050000,227740000,373000,448000,415000,0,0,0.0329,0.3144,0,1,0.0776,0.1806,0.3536,0.1056
Romani-Hebrew,172500000,495945000,475664000,4100000,12677000,12388000,0,0,0.0392,0.3204,1,1,0.0065,0.3745,0.2887,0.1548
Romani-Kabyle,0,0,0,0,0,0,0,0,0.6069,0.2158,0,0,0.1752,0.3645,0.4091,0.1056
Romani-French,954000000,11616265100,2513780000,8800000,377177649,36284000,1,0,0.6522,0.3761,1,1,0.0054,0.271,0.3254,0.2106
Romani-Afrikaans,44070000,11616265100,3916959000,67000,377177649,259221917,1,0,0.6719,0.3526,1,1,0.0938,0.2591,0.3216,0.1419
Maori-Cabecar,6419000,517929400,517929400,0,0,0,0,0,0.5054,0.2137,0,1,0.1964,0.3418,0.5771,0.5257
Maori-Mam,6419000,517929400,517929400,0,0,0,0,0,0.462,0.1367,1,0,0.1875,0.453,0.3151,0.5257
Maori-Latvian,128319000,12134194500,738129400,2000000,377177649,5200000,0,0,0.3975,0.3741,0,1,0.3018,0.4713,0.4021,0.5955
Maori-Chinese,1276419000,1831198400,1787929400,8300000,8308000,8306000,0,0,0.0954,0.3198,0,1,0.1749,0.4066,0.5068,0.5039
Maori-Japanese-tok,1416419000,1927929400,1927929400,3200000,3200000,3200000,0,0,0.0798,0.1409,0,1,0.1396,0.2884,0.611,0.5757
Maori-Albanian,95689000,12134194500,607199400,3200000,377177649,3200000,0,0,0.4872,0.3925,0,1,0.3101,0.5055,0.3838,0.6127
Maori-Basque,59149000,570659400,570659400,1200000,1200000,1200000,0,0,0.515,0.326,0,1,0.3178,0.5603,0.4245,0.5257
Maori-Esperanto,81019000,592529400,592529400,397000,414000,397000,0,0,0.5182,0.3646,0,1,0.3149,0.3807,0.3804,0.5955
Maori-Gujarati,96339000,12134194500,1342829400,0,0,0,0,0,0.0574,0.2778,0,1,0.2266,0.3757,0.5941,0.5528
Maori-Serbian,74719000,12134194500,3856849400,4000000,377177649,49200000,0,0,0.442,0.3817,0,1,0.3084,0.4713,0.4095,0.5757
Maori-Vietnamese,227419000,768727400,768727400,4000000,4000625,4000625,0,0,0.3047,0.363,0,1,0.1494,0.4221,0.3097,0.3545
Maori-German,707419000,12134194500,4434888400,8700000,377177649,259221917,0,0,0.4448,0.3576,0,1,0.3125,0.4397,0.3482,0.5219
Maori-Telugu,112729000,851979400,624239400,33000,448000,33000,0,0,0.0378,0.2554,0,1,0.2024,0.4342,0.6712,0.5528
Maori-Creole,76510000,588020400,588020400,0,0,0,0,0,0.4947,0.388,0,1,0.2306,0.3487,0.4595,0.5528
Maori-Quichua,6419000,517929400,517929400,0,0,0,0,0,0.4826,0.3306,0,0,0.1913,0.4192,0.6335,0.5257
Maori-Achuar,6419000,517929400,517929400,0,0,0,0,0,0.5205,0.2163,0,1,0.1884,0.2643,0.611,0.4523
Maori-Malagasy,14846000,1035858800,1035858800,355000,7592560,7592560,1,1,0.5245,0.3693,0,1,0.1997,0.4008,0.2876,0.3258
Maori-Camsa,6419000,517929400,517929400,0,0,0,0,0,0.4278,0.2653,0,0,0.1959,0.444,0.5993,0.5257
Maori-Swedish,252419000,12134194500,4434888400,7800000,377177649,259221917,0,0,0.4575,0.3606,0,1,0.3026,0.3868,0.3599,0.5955
Maori-Aukan,6419000,517929400,517929400,0,0,0,0,0,0.5429,0.2761,0,1,0.2432,0.305,0.2388,0.5757
Maori-Japanese,1416419000,1927929400,1927929400,3200000,3200000,3200000,0,0,0,0.2333,0,1,0.1396,0.2884,0.611,0.5757
Maori-Spanish,442419000,12134194500,3031709400,4800000,377177649,36284000,0,0,0.4359,0.3637,0,1,0.3184,0.4361,0.3325,0.5757
Maori-Shuar,6419000,517929400,517929400,0,0,0,0,0,0.5225,0.2714,0,0,0.1854,0.3579,0.5466,0.2697
Maori-Dutch,457419000,12134194500,4434888400,8400000,377177649,259221917,0,0,0.4596,0.343,0,1,0.3129,0.3985,0.3325,0.5955
Maori-Slovak,162919000,12134194500,3856849400,5200000,377177649,49200000,0,0,0.41,0.3855,0,1,0.3094,0.4361,0.4095,0.5757
Maori-Amuzgo,6419000,517929400,517929400,0,0,0,0,0,0.4382,0.0761,1,1,0.1774,0.3656,0.3242,0.4929
Maori-Swahili,94259000,663228700,663228700,173000,173000,173000,0,0,0.5719,0.3653,0,1,0.2365,0.3813,0.4209,0.3258
Maori-Chinese-tok,1276419000,1831198400,1787929400,8300000,8308000,8306000,0,0,0.0686,0.3198,0,1,0.1749,0.4066,0.5068,0.5039
Maori-Danish,183519000,12134194500,4434888400,7900000,377177649,259221917,0,0,0.4093,0.366,0,1,0.3097,0.4159,0.3866,0.5955
Maori-Amharic,35911000,1013874400,993593400,88000,12677000,12388000,0,0,0.0345,0.3208,0,1,0.267,0.3911,0.5344,0.5757
Maori-Somali,18244000,1013874400,529754400,85000,12677000,85000,0,0,0.5765,0.3681,0,1,0.248,0.4282,0.5321,0.6127
Maori-Croatian,135319000,12134194500,3856849400,4000000,377177649,49200000,0,0,0.4377,0.3675,0,1,0.3115,0.4787,0.4281,0.5757
Maori-Italian,285419000,12134194500,3031709400,8300000,377177649,36284000,0,0,0.4937,0.3719,0,1,0.3141,0.425,0.2982,0.5757
